,id,name,lat,lon,symbol,distance,ascent
8756,9652769,,47.1492296,8.6051011,yellow::yellow_diamond,,
8757,9652770,Chnollenweid Sätteli - Hintertann,47.1527387,8.6075864,yellow::yellow_diamond,,
8758,9652819,Toggwil - Eichhalden,47.2890423,8.6571220,yellow::yellow_diamond,,
8759,9652820,Chüelenmorgen - Guldener Höchi,47.3046900,8.6575975,yellow::yellow_diamond,,
8760,9652821,Tobelmüli - Chüelenmorgen,47.3155639,8.6406057,yellow::yellow_diamond,,
8761,9652822,Forch - Chüelenmorgen,47.3176857,8.6520982,yellow::yellow_diamond,,
8762,9661690,,47.1160685,8.9826505,blue:white:blue_bar,,
8763,9661691,,47.1177278,8.9892327,blue:white:blue_bar,,
8764,9661692,,47.1212851,8.9965944,red:white:red_bar,,
8765,9661693,,47.1179111,9.0026785,red:white:red_bar,,
8766,9661694,,47.1174198,9.0232311,red:white:red_bar,,
8767,9661695,,47.1085694,9.0135880,red:white:red_bar,,
8768,9661696,,47.1093867,9.0265466,red:white:red_bar,,
8769,9661697,,47.1108663,9.0286138,red:white:red_bar,,
8770,9661698,,47.1129925,9.0336268,red:white:red_bar,,
8771,9661699,,47.1166314,9.0435309,yellow::yellow_diamond,,
8772,9661700,,47.1176181,9.0507690,yellow::yellow_diamond,,
8773,9661701,,47.1152345,9.0525258,yellow::yellow_diamond,,
8774,9661702,,47.1073207,9.0553537,yellow::yellow_diamond,,
8775,9661703,,47.1144484,9.0551267,yellow::yellow_diamond,,
8776,9661704,,47.1144398,9.0571879,yellow::yellow_diamond,,
8777,9664857,Wassermoos - Lifelen,47.0082695,8.1848984,yellow::yellow_diamond,,
